Reference,Status,Type,"Employee Name",Amount,Narration,"Date Created"
01HRS76V4GM3CJDBNTG40DJR4G,pending,PAYROLL,"Moses George",1000000.00,"SALARY/March Payroll","12/03/2024 @ 12:36PM"
01HRS76VYZW09T6RP2D54Y4JE4,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/March Payroll","12/03/2024 @ 12:36PM"
01HRS7BP2ZYHEJS64ATRFA1G5C,pending,PAYROLL,"Test Tester",1000000.00,SALARY/AprilPayroll,"12/03/2024 @ 12:39PM"
01HRS7BPXQ35MJHBY32ZS28XGM,pending,PAYROLL,"Moses George",1000000.00,SALARY/AprilPayroll,"12/03/2024 @ 12:39PM"
01HRSN6H6SZDJAPZMKV3QXBY79,pending,PAYROLL,"Moses George",1000000.00,SALARY/{{$randomName}},"12/03/2024 @ 04:41PM"
01HRSNEB45AKG10ECCRM934WKR,pending,PAYROLL,"Moses George",1000000.00,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRSNEBYPR4BEYHYW1XEBNZGZ,pending,PAYROLL,"George Ebuka",83333.33,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRSNECSAYT1TGBMHATY8R7SM,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRXTTA660SV8RPEERPT0BZ22,pending,PAYROLL,"Moses George",1000000.00,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXTTAVXPJE64TEQB755MP3N,pending,PAYROLL,"George Ebuka",83333.33,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXTTBHX69XBHXDBYDHEG9MF,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXV4FND9KH8VK73KRQV8ZD0,pending,PAYROLL,"Moses George",1000000.00,SALARY/{{$randomName}},"14/03/2024 @ 07:42AM"
01HS9QZ4NRTYBD09B24NHB2XTY,pending,PAYROLL,"Udeme Nse",66666.67,"SALARY/Basic Allowance","18/03/2024 @ 10:37PM"
01HSA12X06V40AF301CVEKF0W6,pending,PAYROLL,"Habeeb Seun",166666.67,"SALARY/Hab Test Payroll","19/03/2024 @ 01:16AM"
