Reference,Status,Type,"Employee Name",Amount,Narration,"Date Created"
01HRS76V4GM3CJDBNTG40DJR4G,pending,PAYROLL,"Moses George",1000000.00,"SALARY/March Payroll","12/03/2024 @ 12:36PM"
01HRS76VYZW09T6RP2D54Y4JE4,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/March Payroll","12/03/2024 @ 12:36PM"
01HRS7BP2ZYHEJS64ATRFA1G5C,pending,PAYROLL,"Test Tester",1000000.00,SALARY/AprilPayroll,"12/03/2024 @ 12:39PM"
01HRS7BPXQ35MJHBY32ZS28XGM,pending,PAYROLL,"Moses George",1000000.00,SALARY/AprilPayroll,"12/03/2024 @ 12:39PM"
01HRSN6H6SZDJAPZMKV3QXBY79,pending,PAYROLL,"Moses George",1000000.00,SALARY/{{$randomName}},"12/03/2024 @ 04:41PM"
01HRSNEB45AKG10ECCRM934WKR,pending,PAYROLL,"Moses George",1000000.00,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRSNEBYPR4BEYHYW1XEBNZGZ,pending,PAYROLL,"George Ebuka",83333.33,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRSNECSAYT1TGBMHATY8R7SM,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/Test Payroll","12/03/2024 @ 04:45PM"
01HRXTTA660SV8RPEERPT0BZ22,pending,PAYROLL,"Moses George",1000000.00,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXTTAVXPJE64TEQB755MP3N,pending,PAYROLL,"George Ebuka",83333.33,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXTTBHX69XBHXDBYDHEG9MF,pending,PAYROLL,"Test Tester",1000000.00,"SALARY/Test Payroll","14/03/2024 @ 07:36AM"
01HRXV4FND9KH8VK73KRQV8ZD0,pending,PAYROLL,"Moses George",1000000.00,SALARY/{{$randomName}},"14/03/2024 @ 07:42AM"
01HS9QZ4NRTYBD09B24NHB2XTY,pending,PAYROLL,"Udeme Nse",66666.67,"SALARY/Basic Allowance","18/03/2024 @ 10:37PM"
01HSA12X06V40AF301CVEKF0W6,pending,PAYROLL,"Habeeb Seun",166666.67,"SALARY/Hab Test Payroll","19/03/2024 @ 01:16AM"
01HSB66RPBZVD5M5PV91MRAX31,pending,PAYROLL,"Great Owo",166666.67,SALARY/March,"19/03/2024 @ 12:05PM"
01HSB6NVJVRG1G0TZ839WWQ7RP,pending,PAYROLL,"Jane Doe",8333.33,SALARY/PayPro,"19/03/2024 @ 12:13PM"
01HSB70HBD0XJ5WE6BCDKEBH4S,pending,PAYROLL,"Janre jung",3804.67,SALARY/May,"19/03/2024 @ 12:19PM"
01HSB7FAHF8RWP399XT34JH4P4,pending,PAYROLL,"Precious Testing",200000.00,SALARY/Contract,"19/03/2024 @ 12:27PM"
01HSB7XTT3K5ZRTF73RYAMWKKT,pending,PAYROLL,"Enoch Sam",41666.67,SALARY/Main,"19/03/2024 @ 12:35PM"
01HSB8D126D0GMD532Y00EYQQN,pending,PAYROLL,"tobechukwu Udoye",100000.00,SALARY/gabriella.inc,"19/03/2024 @ 12:44PM"
01HSB9H7A7ZDA5WV1W9BXPY3Y9,pending,PAYROLL,"Tola Dele",83333.33,SALARY/Munch,"19/03/2024 @ 01:03PM"
01HSBA2N5TJMJYD5RPJKJ7WSQM,pending,PAYROLL,"Tola Dele",83333.33,"SALARY/Stock 2","19/03/2024 @ 01:13PM"
